ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,4,B,2,1,2,604,350,654,506,581,318,1,X
2,21,A,2,2,2,827,601,586,340,660,525,9,X
3,58,B,2,2,1,798,315,782,618,627,324,5,X
4,71,A,2,1,2,844,453,614,317,763,608,6,X
5,97,B,2,2,2,637,362,779,477,679,328,6,X
6,123,A,2,2,2,820,578,653,347,701,513,8,X
7,160,B,2,2,1,491,342,742,597,639,322,7,X
8,184,A,2,2,2,443,421,530,338,739,595,6,X
9,217,B,2,1,2,476,374,478,469,546,333,6,X
10,242,A,2,2,2,469,557,501,355,544,515,8,X
11,277,B,1,2,1,623,297,575,540,579,310,5,X
12,290,A,2,1,2,549,436,581,303,528,568,6,X
13,312,B,2,1,2,786,364,557,475,643,293,6,X
14,335,A,2,1,2,813,411,743,370,603,511,6,X
15,362,B,2,2,2,785,271,773,458,700,370,8,X
16,418,A,2,1,1,615,602,757,281,698,510,3,X
17,461,B,2,2,1,753,333,610,614,665,306,7,X
18,483,A,2,1,2,808,461,695,334,618,614,6,X
19,511,B,2,2,2,782,363,725,494,685,341,6,X
20,536,A,2,1,2,476,587,731,355,692,495,8,X
21,569,B,1,2,1,768,306,528,586,611,333,5,X
22,586,A,2,1,2,792,521,578,313,479,634,6,X
23,615,B,2,2,1,690,306,659,546,762,330,9,X
24,627,A,2,1,2,311,425,654,309,812,530,6,B
