ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,23,A,2,2,2,760,664,613,443,713,629,2,X
2,84,B,2,2,1,763,387,722,666,640,417,3,X
3,115,A,2,2,1,825,588,707,395,698,609,5,X
4,136,B,2,2,2,768,474,768,597,710,393,6,X
5,164,A,2,1,2,483,626,756,462,694,576,9,X
6,198,B,2,1,1,511,437,494,636,636,426,7,X
7,223,A,2,2,2,771,538,556,433,601,611,6,X
8,252,B,2,2,2,794,377,756,551,634,431,8,X
9,290,A,2,2,1,498,567,708,387,714,589,5,X
10,314,B,2,1,2,490,475,522,572,708,381,6,X
11,346,A,2,2,2,513,489,512,464,560,566,8,B
