ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,25,A,2,1,2,514,540,645,436,530,595,1,X
2,48,B,2,1,2,458,465,606,551,628,432,6,X
3,79,A,2,2,2,453,624,496,461,560,569,8,X
4,123,B,1,2,1,739,430,468,655,578,429,5,X
5,139,A,2,1,2,427,520,586,433,479,664,6,X
6,169,B,2,1,2,750,396,474,563,624,436,8,X
7,206,A,1,2,1,423,626,701,405,650,599,3,X
8,241,B,1,2,1,503,419,514,617,637,422,5,X
9,258,A,2,2,2,826,518,534,427,486,637,6,X
10,290,B,2,2,2,802,470,772,552,634,427,6,X
11,319,A,2,1,2,638,650,746,465,737,556,8,X
12,378,B,2,2,1,760,396,624,654,626,420,3,X
13,411,A,1,2,1,868,602,690,408,667,613,3,X
14,442,B,2,2,1,786,455,871,620,668,420,7,X
15,467,A,2,1,2,895,644,734,450,797,618,9,X
16,500,B,2,2,1,807,398,797,641,669,427,3,X
17,528,A,1,2,1,508,604,727,411,721,606,3,X
18,559,B,1,2,1,761,395,559,606,677,412,3,X
19,596,A,1,2,1,368,561,680,412,600,604,5,B
