ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,B,2,1,2,674,305,623,481,692,286,1,X
2,31,A,2,1,2,773,401,692,314,626,484,6,X
3,56,B,2,1,2,790,349,741,431,682,316,6,X
4,86,A,2,2,2,856,608,737,339,712,432,8,X
5,139,B,1,2,1,761,282,809,622,680,297,5,X
6,157,A,2,2,2,735,401,692,280,780,610,6,X
7,184,B,2,1,2,699,345,717,430,673,292,6,X
8,209,A,2,2,2,763,570,654,342,670,437,8,X
9,248,B,1,2,1,610,258,707,573,670,295,3,X
10,279,A,1,2,1,739,498,623,266,624,563,5,X
11,292,B,2,1,2,756,283,586,538,636,267,4,X
12,315,A,2,2,2,847,516,699,282,654,507,4,X
13,331,B,2,1,1,773,276,730,514,707,288,4,X
14,344,A,2,2,2,811,415,703,276,739,520,6,X
15,373,B,2,1,2,758,238,771,459,703,288,9,B
