ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,9,A,2,1,2,761,453,629,345,747,539,1,X
2,33,B,2,2,2,756,299,709,470,636,340,9,X
3,57,A,1,2,1,798,502,684,308,714,508,5,X
4,70,B,2,2,2,741,349,739,529,710,304,6,X
5,98,A,2,1,2,692,462,656,348,677,517,6,X
6,126,B,2,1,2,765,301,712,476,649,347,8,X
7,160,A,1,2,1,841,506,680,308,700,520,5,X
8,181,B,2,2,2,804,370,783,530,674,309,6,X
9,208,A,2,1,2,533,604,765,363,723,518,8,X
10,248,B,2,2,1,755,299,588,603,632,335,3,X
11,286,A,1,2,1,924,659,696,307,655,556,3,B
