ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,24,A,2,2,2,794,641,609,413,734,613,2,X
2,88,B,2,2,1,760,390,743,643,645,388,5,X
3,105,A,2,1,2,712,548,625,389,722,610,6,X
4,124,B,2,1,2,835,439,756,563,641,388,6,X
5,149,A,2,1,2,914,628,763,425,709,565,8,X
6,186,B,2,2,1,837,399,853,637,683,394,5,X
7,203,A,2,1,2,475,498,717,395,791,628,6,X
8,233,B,2,1,2,449,458,499,511,667,396,6,X
9,261,A,2,2,2,499,634,489,453,563,520,8,X
10,312,B,1,2,1,748,362,487,634,603,397,3,X
11,347,A,1,2,1,925,638,704,372,678,589,3,X
12,388,B,2,2,1,786,368,905,631,670,390,3,X
13,427,A,1,2,1,754,522,745,357,729,585,7,X
14,456,B,2,2,2,687,459,695,539,720,370,6,X
15,484,A,2,1,2,423,626,647,437,673,550,8,X
16,528,B,1,2,1,509,359,481,633,598,397,3,X
17,559,A,2,2,1,480,598,558,351,563,597,3,X
18,582,B,1,2,1,469,362,551,580,545,362,3,X
19,620,A,2,2,1,470,637,520,359,592,575,3,X
20,664,B,2,2,1,842,404,487,638,610,385,7,X
21,686,A,2,1,2,847,494,783,407,523,631,6,X
22,718,B,2,2,2,534,339,802,510,729,419,8,A
