ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,6,A,2,1,2,708,445,633,345,720,533,1,X
2,22,B,2,2,2,665,385,691,462,635,342,6,X
3,47,A,2,1,2,427,604,629,375,634,486,8,X
4,97,B,2,2,1,490,315,472,614,569,314,5,X
5,110,A,2,2,2,705,453,559,310,463,602,6,X
6,139,B,2,2,2,587,369,674,472,576,328,6,X
7,158,A,2,2,2,685,442,610,359,677,487,6,X
8,183,B,2,2,2,480,281,674,459,621,350,8,X
9,225,A,2,2,1,447,477,511,275,629,514,7,X
10,247,B,2,1,2,718,367,466,495,560,294,6,X
11,268,A,2,1,2,779,426,702,355,571,511,6,X
12,295,B,2,2,2,690,332,740,443,643,328,9,X
13,304,A,2,1,2,554,488,628,326,749,443,4,X
14,317,B,2,1,1,553,350,707,461,614,332,6,X
15,335,A,2,2,2,846,462,557,343,590,493,6,X
16,365,B,2,2,2,518,282,796,472,616,321,8,X
17,400,A,2,2,1,826,526,551,285,690,518,5,X
18,417,B,2,2,2,802,354,707,540,526,282,6,X
19,447,A,2,1,2,565,535,748,343,787,523,8,X
20,466,B,2,1,1,516,319,645,524,681,331,5,X
21,480,A,2,2,2,469,466,611,317,561,527,6,X
22,501,B,2,1,2,473,279,507,484,512,320,9,X
23,537,A,2,2,2,451,515,517,282,590,510,4,X
24,553,B,2,1,1,839,338,525,501,533,289,6,A
