ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,34,A,2,1,2,549,441,652,324,559,514,1,X
2,55,B,2,1,2,778,379,573,453,650,323,6,X
3,80,A,2,1,2,491,572,724,352,663,484,8,X
4,111,B,1,2,1,530,312,596,548,612,315,5,X
5,123,A,2,2,2,650,449,579,302,558,577,6,X
6,148,B,2,2,1,606,318,626,473,582,302,4,X
7,162,A,2,1,1,574,444,636,317,659,480,6,X
8,183,B,2,1,2,693,330,606,460,640,310,9,X
9,194,A,2,1,1,621,466,624,304,622,468,6,X
10,212,B,2,1,2,498,358,664,481,631,307,6,X
11,245,A,2,2,2,480,405,545,350,630,495,6,X
12,272,B,2,1,2,479,390,521,437,568,341,6,X
13,293,A,2,2,1,559,414,502,388,535,450,6,X
14,316,B,2,1,2,490,275,562,436,570,362,8,X
15,383,A,2,2,1,634,530,494,268,570,549,5,X
16,395,B,2,2,2,861,449,572,562,475,286,4,A
